model	objective	reaction	status	value
./model.xml	obj	R_3OAS100	optimal	1.4946997465021168
./model.xml	obj	R_3OAS120	optimal	1.5746094375134527
./model.xml	obj	R_3OAS121	optimal	1.568645630462355
./model.xml	obj	R_3OAS140	optimal	1.5797370157608386
./model.xml	obj	R_3OAS141	optimal	1.5686456304623764
./model.xml	obj	R_3OAS160	optimal	1.580990908093387
./model.xml	obj	R_3OAS161	optimal	1.5686456304623846
./model.xml	obj	R_3OAS180	optimal	1.5902673455202985
./model.xml	obj	R_3OAS181	optimal	1.5665476779174425
./model.xml	obj	R_3OAS60	optimal	1.590850572669816
./model.xml	obj	R_3OAS80	optimal	1.4946997465021061
./model.xml	obj	R_3OXCOAT	optimal	1.5908505726730127
./model.xml	obj	R_3OXOADPt_ex	optimal	1.590850572673023
./model.xml	obj	R_3OXOADPt_pp	optimal	1.5908505726730104
./model.xml	obj	R_3PEPTabcpp	optimal	1.5908505726730127
./model.xml	obj	R_3_4DHBZ1t_pp	optimal	1.590850572672997
./model.xml	obj	R_3_4DHBZt2	optimal	1.5908505726730298
./model.xml	obj	R_4CMLCL_kt	optimal	1.5908505726730096
./model.xml	obj	R_4HALDD	optimal	1.590850572673027
./model.xml	obj	R_4HBHYOX	optimal	1.590850572673029
./model.xml	obj	R_4HBZtex	optimal	1.5908505726730207
./model.xml	obj	R_4HOXPACt2pp	optimal	1.5908505726730249
./model.xml	obj	R_4HTHRS	optimal	1.590850572673019
./model.xml	obj	R_4PCP	optimal	1.590850572673052
./model.xml	obj	R_4PEPTabcpp	optimal	1.5908505726729985
./model.xml	obj	R_5DOAN	optimal	1.590850572673014
./model.xml	obj	R_5HPUDICDC_c	optimal	1.5908505726730024
./model.xml	obj	R_5MEPCAtex	optimal	1.5908505726730198
./model.xml	obj	R_A5PISO	optimal	0.0
./model.xml	obj	R_AACPS1	optimal	1.59085057265357
./model.xml	obj	R_AACPS2	optimal	1.5908505726730144
./model.xml	obj	R_AACPS3	optimal	1.5908505726730238
./model.xml	obj	R_AACPS4	optimal	1.590850572673023
./model.xml	obj	R_AACPS5	optimal	1.5908505726730227
./model.xml	obj	R_AACPS6	optimal	1.5908505726730298
./model.xml	obj	R_AACPS7	optimal	1.5908505726729922
./model.xml	obj	R_AACPS8	optimal	1.5908505726729985
./model.xml	obj	R_AACPS9	optimal	1.590850572673052
./model.xml	obj	R_AADSACYCL	optimal	1.5908505726535702
./model.xml	obj	R_AASAD3	optimal	1.5908505726730182
./model.xml	obj	R_ABTA	optimal	1.5908505726729985
./model.xml	obj	R_ABUTD	optimal	1.590850572672996
./model.xml	obj	R_ABUTt2pp	optimal	1.590850572673025
./model.xml	obj	R_ABUTtex	optimal	1.5908505726730184
./model.xml	obj	R_ACACT1r	optimal	1.5908505726729985
./model.xml	obj	R_ACACT2r	optimal	1.587536435928461
./model.xml	obj	R_ACACT3r	optimal	1.5908505726730249
./model.xml	obj	R_ACACT4r	optimal	1.5908505726728543
./model.xml	obj	R_ACACT5r	optimal	1.5908505726729585
./model.xml	obj	R_ACACT6r	optimal	1.5908505726730207
./model.xml	obj	R_ACACT7r	optimal	1.590850572673007
./model.xml	obj	R_ACACT8r	optimal	1.590850572673052
./model.xml	obj	R_ACACt2pp	optimal	1.5908505726730193
./model.xml	obj	R_ACACtex	optimal	1.5908505726730122
./model.xml	obj	R_ACBIPGT_2	optimal	1.5908505726730036
./model.xml	obj	R_ACCOAC	optimal	1.689033559786554e-12
./model.xml	obj	R_ACCOAL	optimal	1.590850572673023
./model.xml	obj	R_ACGAMT	optimal	1.5908505726730273
./model.xml	obj	R_ACGAptspp	optimal	1.5908505726730178
./model.xml	obj	R_ACGK	optimal	1.5908505726730147
./model.xml	obj	R_ACGLUtex	optimal	1.5908505726730275
./model.xml	obj	R_ACGLUtpp	optimal	1.5908505726730264
./model.xml	obj	R_ACGS	optimal	1.5908505726730096
./model.xml	obj	R_ACHBS	optimal	1.5908505726730402
./model.xml	obj	R_ACKr	optimal	1.5900621805856148
./model.xml	obj	R_ACLS	optimal	1.577930657075776
./model.xml	obj	R_ACLS_a	optimal	1.5640767600503138
./model.xml	obj	R_ACLS_d	optimal	1.5640767600503152
./model.xml	obj	R_ACOAD1f	optimal	1.5875364359284676
./model.xml	obj	R_ACOAD2f	optimal	1.5908505726728543
./model.xml	obj	R_ACOAD3f	optimal	1.5908505726729993
./model.xml	obj	R_ACOAD4f	optimal	1.5908505726730158
./model.xml	obj	R_ACOAD5f	optimal	1.590850572672996
./model.xml	obj	R_ACOAD6f	optimal	1.5908505726729993
./model.xml	obj	R_ACOAD7f	optimal	1.5908505726730273
./model.xml	obj	R_ACOAD8f	optimal	1.5908505726730207
./model.xml	obj	R_ACOADH1	optimal	1.5908505726730249
./model.xml	obj	R_ACOADH2	optimal	1.5908505726729985
./model.xml	obj	R_ACOATA	optimal	1.5908505726730184
./model.xml	obj	R_ACODA	optimal	1.59085057267303
./model.xml	obj	R_ACONCtex	optimal	1.590850572673013
./model.xml	obj	R_ACONCtupp	optimal	1.5908505726730073
./model.xml	obj	R_ACONTa	optimal	1.5908505726729993
./model.xml	obj	R_ACONTb	optimal	1.5908505726730382
./model.xml	obj	R_ACOTA	optimal	1.5908505726730238
./model.xml	obj	R_ACPPAT120	optimal	1.5908505726730242
./model.xml	obj	R_ACPPAT140	optimal	1.590850572673012
./model.xml	obj	R_ACPPAT141	optimal	1.5908505726730402
./model.xml	obj	R_ACPPAT160	optimal	1.5908505726730342
./model.xml	obj	R_ACPPAT161	optimal	1.5908505726730184
./model.xml	obj	R_ACPPAT180	optimal	1.5908505726730233
./model.xml	obj	R_ACPPAT181	optimal	1.5908505726730233
./model.xml	obj	R_ACPS1	optimal	1.590850572673022
./model.xml	obj	R_ACPpds	optimal	1.5908505726730184
./model.xml	obj	R_ACS	optimal	1.590850572673035
./model.xml	obj	R_ACS2	optimal	1.590850572673016
./model.xml	obj	R_ACTD2	optimal	1.590850572673023
./model.xml	obj	R_ACTD2_SS	optimal	1.5908505726730071
./model.xml	obj	R_ACTD_1	optimal	1.590850572673035
./model.xml	obj	R_ACt4pp	optimal	1.590850572673016
./model.xml	obj	R_ACtex	optimal	1.5908505726730207
./model.xml	obj	R_ADA	optimal	1.590850572673022
./model.xml	obj	R_ADCL	optimal	0.0
./model.xml	obj	R_ADCPS1	optimal	1.5908505726730229
./model.xml	obj	R_ADCS	optimal	0.0
./model.xml	obj	R_ADCYRS	optimal	1.5908505726730067
./model.xml	obj	R_ADEt2rpp	optimal	1.5908505726730264
./model.xml	obj	R_ADEtex	optimal	1.5908505726730156
./model.xml	obj	R_ADK1irr	optimal	1.2779199657661547e-13
./model.xml	obj	R_ADMDC	optimal	1.5908505726730073
./model.xml	obj	R_ADNCYC	optimal	1.59085057267303
./model.xml	obj	R_ADNUC	optimal	1.5908505726729985
./model.xml	obj	R_ADNt2pp	optimal	1.5908505726730275
./model.xml	obj	R_ADNtex	optimal	1.5908505726730267
./model.xml	obj	R_ADOCBLS	optimal	1.590850572673024
./model.xml	obj	R_ADPT	optimal	1.5908149119590977
./model.xml	obj	R_ADSK	optimal	1.5908505726730073
./model.xml	obj	R_ADSL1r	optimal	-3.6504262670412406e-13
./model.xml	obj	R_ADSL2r	optimal	-2.8979246989829737e-13
./model.xml	obj	R_ADSS	optimal	3.046554195725824e-13
./model.xml	obj	R_AEPPYRTA	optimal	1.5908505726730138
./model.xml	obj	R_AGDC	optimal	1.590850572673007
./model.xml	obj	R_AGM3PA	optimal	1.5908505726730189
./model.xml	obj	R_AGM3PApp	optimal	1.5908505726730127
./model.xml	obj	R_AGM3PH	optimal	1.5908505726730189
./model.xml	obj	R_AGM3Pt2pp	optimal	1.5908505726730104
./model.xml	obj	R_AGM4PA	optimal	1.5908505726730218
./model.xml	obj	R_AGM4PApp	optimal	1.590850572673007
./model.xml	obj	R_AGM4PCP	optimal	1.590850572673023
./model.xml	obj	R_AGM4PH	optimal	1.590850572673022
./model.xml	obj	R_AGM4Pt2pp	optimal	1.5908505726730064
./model.xml	obj	R_AGMDA	optimal	1.5908505726730222
./model.xml	obj	R_AGMH	optimal	1.5908505726730295
./model.xml	obj	R_AGMHE	optimal	0.0
./model.xml	obj	R_AGMPTRCtpp	optimal	1.5822982794397353
./model.xml	obj	R_AGMt2pp	optimal	1.5908505726730102
./model.xml	obj	R_AGODH	optimal	1.5908505726730187
./model.xml	obj	R_AGPAT120	optimal	1.59085057267303
./model.xml	obj	R_AGPAT140	optimal	1.5908505726730058
./model.xml	obj	R_AGPAT141	optimal	1.590850572672997
./model.xml	obj	R_AGPAT160	optimal	0.0
./model.xml	obj	R_AGPAT161	optimal	0.0
./model.xml	obj	R_AGPAT180	optimal	0.0
./model.xml	obj	R_AGPAT181	optimal	2.3559121895780368e-15
./model.xml	obj	R_AGPR	optimal	1.5908505726730184
./model.xml	obj	R_AHCi	optimal	0.0
./model.xml	obj	R_AHGDx	optimal	1.590850572672982
./model.xml	obj	R_AHSERL2	optimal	1.5908505726729123
./model.xml	obj	R_AICART	optimal	-4.075446820535692e-13
./model.xml	obj	R_AIRCr	optimal	1.772768922289088e-14
./model.xml	obj	R_AKGDHPCA	optimal	1.5908505726730058
./model.xml	obj	R_AKGDHPYO	optimal	1.590850572673007
./model.xml	obj	R_AKGDa	optimal	1.590850572673019
./model.xml	obj	R_AKGDb	optimal	1.5908505726730169
./model.xml	obj	R_AKGt2rpp	optimal	1.5908505726730198
./model.xml	obj	R_AKGtex	optimal	1.5908505726730229
./model.xml	obj	R_AKP1_2	optimal	0.0
./model.xml	obj	R_ALAALAD	optimal	1.5908505726730207
./model.xml	obj	R_ALAALAabcpp	optimal	1.590850572673015
./model.xml	obj	R_ALAALAr	optimal	0.0
./model.xml	obj	R_ALAR	optimal	0.0
./model.xml	obj	R_ALATA_L	optimal	1.4297350967717963
./model.xml	obj	R_ALAabcpp	optimal	1.590850572673023
./model.xml	obj	R_ALAt4pp	optimal	1.571904206612071
./model.xml	obj	R_ALAtex	optimal	1.5719042066120792
./model.xml	obj	R_ALCD19	optimal	1.590850572673018
./model.xml	obj	R_ALCD1_ros	optimal	1.590850572673008
./model.xml	obj	R_ALCD2ir	optimal	1.590850572669069
./model.xml	obj	R_ALCD4	optimal	1.590850572673026
./model.xml	obj	R_ALDD1	optimal	1.5908505726729951
./model.xml	obj	R_ALDD19xr	optimal	1.590850572672997
./model.xml	obj	R_ALDD2x	optimal	1.5908505726730187
./model.xml	obj	R_ALKOXDODEC	optimal	1.5908505726535702
./model.xml	obj	R_ALKOXHEXDEC	optimal	1.590850572673024
./model.xml	obj	R_ALKOXTETDEC	optimal	1.590850572673024
./model.xml	obj	R_ALLTAHr	optimal	1.5908505726730238
./model.xml	obj	R_ALLTN	optimal	1.5908505726730229
./model.xml	obj	R_ALLTNt2rpp	optimal	1.590850572673007
./model.xml	obj	R_ALLTNtex	optimal	1.590850572673038
./model.xml	obj	R_ALR2	optimal	1.5908505726730238
./model.xml	obj	R_AM3PA	optimal	1.590850572673008
./model.xml	obj	R_AM4PA	optimal	1.5908505726729123
./model.xml	obj	R_AM4PCP	optimal	1.5908505726730235
./model.xml	obj	R_AMALT1	optimal	1.5908505726730244
./model.xml	obj	R_AMALT2	optimal	1.5908505726730298
./model.xml	obj	R_AMALT3	optimal	1.5908505726730278
./model.xml	obj	R_AMALT4	optimal	1.5908505726730193
./model.xml	obj	R_AMAOTr	optimal	1.5908505726730078
./model.xml	obj	R_AMID4	optimal	1.5908505726730122
./model.xml	obj	R_AMPEP11	optimal	1.590850572673018
./model.xml	obj	R_AMPEP8	optimal	1.5908505726730224
./model.xml	obj	R_AMPMS2	optimal	-1.7508465799555002e-11
./model.xml	obj	R_AMPN	optimal	1.590850572673009
./model.xml	obj	R_AMPTASECG	optimal	1.5908505726730136
./model.xml	obj	R_AMPTASEPG	optimal	1.5908505726730264
./model.xml	obj	R_ANHMK	optimal	1.5908505726730207
./model.xml	obj	R_ANPRT	optimal	1.5908505726730402
./model.xml	obj	R_ANS	optimal	1.5908505726730224
./model.xml	obj	R_AOBUTDs	optimal	1.5908505726730127
./model.xml	obj	R_AOXHEXCYCL	optimal	1.590850572673023
./model.xml	obj	R_AOXSr	optimal	1.590850572672996
./model.xml	obj	R_AP4AH	optimal	1.5908505726730338
./model.xml	obj	R_APATr	optimal	1.433622289735483
./model.xml	obj	R_APG3PAT120	optimal	1.590850572673023
./model.xml	obj	R_APG3PAT140	optimal	1.5908505726730038
./model.xml	obj	R_APG3PAT141	optimal	1.5908505726730264
./model.xml	obj	R_APG3PAT160	optimal	1.590850572672997
./model.xml	obj	R_APG3PAT161	optimal	1.5908505726730076
./model.xml	obj	R_APG3PAT180	optimal	1.590850572672997
./model.xml	obj	R_APG3PAT181	optimal	1.590850572673011
./model.xml	obj	R_APH120	optimal	1.5908505726730298
./model.xml	obj	R_APH140	optimal	1.5908505726730136
./model.xml	obj	R_APH141	optimal	1.590850572672997
./model.xml	obj	R_APH160	optimal	1.590850572673022
./model.xml	obj	R_APH161	optimal	1.5908505726730127
./model.xml	obj	R_APH180	optimal	1.5908505726730209
./model.xml	obj	R_APH181	optimal	1.590850572673023
./model.xml	obj	R_APPLDHr	optimal	1.5908505726730127
./model.xml	obj	R_APRAUR	optimal	1.590850572673024
./model.xml	obj	R_APSR	optimal	1.5900335025079084
./model.xml	obj	R_APTNAT	optimal	1.5875364359284856
./model.xml	obj	R_ARBt3ipp	optimal	1.5908505726730249
./model.xml	obj	R_ARBtex	optimal	1.5908505726730127
./model.xml	obj	R_ARGAGMt7pp	optimal	1.5822982794397742
./model.xml	obj	R_ARGDC	optimal	1.5908505726730258
./model.xml	obj	R_ARGDr	optimal	1.585457435374434
./model.xml	obj	R_ARGORNt7pp	optimal	1.5908505726730275
./model.xml	obj	R_ARGSL	optimal	1.590850572672997
./model.xml	obj	R_ARGSS	optimal	1.5908505726730187
./model.xml	obj	R_ARGTRS	optimal	1.5908505726730013
./model.xml	obj	R_ARGabcpp	optimal	1.590850572673012
./model.xml	obj	R_ARGt3pp	optimal	1.590850572673026
./model.xml	obj	R_ARGtex	optimal	1.560406233119329
./model.xml	obj	R_ARUH	optimal	1.590850572673022
./model.xml	obj	R_ASAD	optimal	0.0
./model.xml	obj	R_ASCBtex	optimal	1.5908505726730104
./model.xml	obj	R_ASNN	optimal	1.5908505726730313
./model.xml	obj	R_ASNNpp	optimal	1.5908505726730382
./model.xml	obj	R_ASNS1	optimal	0.0
./model.xml	obj	R_ASNtex	optimal	1.5908505726730184
./model.xml	obj	R_ASO3t2pp	optimal	1.5908505726730284
./model.xml	obj	R_ASO3tex	optimal	1.5908505726730406
./model.xml	obj	R_ASO4rt2rpp	optimal	1.5908505726730058
./model.xml	obj	R_ASP1DC	optimal	1.590850572673008
./model.xml	obj	R_ASPCT	optimal	1.5908505726730138
./model.xml	obj	R_ASPK	optimal	0.0
./model.xml	obj	R_ASPO1	optimal	1.5908505726730209
./model.xml	obj	R_ASPO3	optimal	1.5908505726730298
./model.xml	obj	R_ASPO3_q9	optimal	1.5908505726730287
./model.xml	obj	R_ASPO5	optimal	1.590850572673007
./model.xml	obj	R_ASPO6	optimal	1.590850572673008
./model.xml	obj	R_ASPT	optimal	1.590850572673018
./model.xml	obj	R_ASPTA	optimal	1.5908505726730142
./model.xml	obj	R_ASPabcpp	optimal	1.5837050396375791
./model.xml	obj	R_ASPtex	optimal	1.5837050396376016
./model.xml	obj	R_ASR	optimal	1.5908505726730207
./model.xml	obj	R_AST	optimal	1.5908505726730187
./model.xml	obj	R_ATHRDHr	optimal	1.5908505726730122
./model.xml	obj	R_ATPHs	optimal	1.5908505726730233
./model.xml	obj	R_ATPM	optimal	1.6862265794238027
./model.xml	obj	R_ATPPRT	optimal	1.590850572673052
./model.xml	obj	R_ATPS4rpp	optimal	0.31402700685581825
./model.xml	obj	R_BACCL	optimal	1.5908505726730242
./model.xml	obj	R_BALAt2pp	optimal	1.5908505726730298
./model.xml	obj	R_BALAtex	optimal	1.5908505726729123
./model.xml	obj	R_BCOALIG	optimal	1.5908505726730242
./model.xml	obj	R_BCOALIG2	optimal	1.590850572673005
./model.xml	obj	R_BETALDHx	optimal	1.590850572673012
./model.xml	obj	R_BETALDHy	optimal	1.590850572673034
./model.xml	obj	R_BHBtpp	optimal	1.5908505726730156
./model.xml	obj	R_BHMT	optimal	1.5908505726730213
./model.xml	obj	R_BIOMASS_PA14_v27M	optimal	0.0
./model.xml	obj	R_BIOMASS_PA14_v27M_ANA	optimal	1.5908505726729993
./model.xml	obj	R_BKACEr	optimal	1.590850572673018
./model.xml	obj	R_BLUB	optimal	1.5908505726730293
./model.xml	obj	R_BMOCOS	optimal	1.5908505726730198
./model.xml	obj	R_BMOGDS1	optimal	1.5908505726729585
./model.xml	obj	R_BMOGDS2	optimal	1.5908505726730138
./model.xml	obj	R_BPNT	optimal	1.590850572672996
./model.xml	obj	R_BTDD_RR	optimal	1.590850572673026
./model.xml	obj	R_BTDD_SS	optimal	1.590850572673011
./model.xml	obj	R_BTDD_SS_cyt	optimal	1.590850572673007
./model.xml	obj	R_BTDD_SStex	optimal	1.5908505726730067
./model.xml	obj	R_BTDD_meso	optimal	1.5908505726730373
./model.xml	obj	R_BTDD_mesotex	optimal	1.5908505726730258
./model.xml	obj	R_BTDDtex	optimal	1.5908505726730187
./model.xml	obj	R_BTDDtpp	optimal	1.5908505726730207
./model.xml	obj	R_BTDDtpp_SS	optimal	1.5908505726730138
./model.xml	obj	R_BTDDtpp_meso	optimal	1.5908505726730127
./model.xml	obj	R_BTS5	optimal	1.5908505726730275
./model.xml	obj	R_BUTCT	optimal	1.5908505726730204
./model.xml	obj	R_BUTSO3abcpp	optimal	1.5908505726728543
./model.xml	obj	R_BUTSO3tex	optimal	1.590850572673052
./model.xml	obj	R_BUTt2rpp	optimal	1.5908505726730058
./model.xml	obj	R_BUTtex	optimal	1.5908505726730164
./model.xml	obj	R_BZ12DOX	optimal	1.590850572672997
./model.xml	obj	R_BZDIOLDH	optimal	1.5908505726730267
./model.xml	obj	R_BZt1pp	optimal	1.5908505726730144
./model.xml	obj	R_BZtex	optimal	1.5908505726535702
./model.xml	obj	R_CA2tex	optimal	1.5908505726730218
./model.xml	obj	R_CAT	optimal	1.5908374968922878
./model.xml	obj	R_CATDOX	optimal	1.5908505726730016
./model.xml	obj	R_CBIAT	optimal	1.5908505726730264
./model.xml	obj	R_CBItonex	optimal	1.5908505726730207
./model.xml	obj	R_CBIuabcpp	optimal	1.5908505726730104
./model.xml	obj	R_CBMD	optimal	1.590850572673013
./model.xml	obj	R_CBMKr	optimal	1.5858492541596982
./model.xml	obj	R_CBPAH	optimal	1.5908505726730207
./model.xml	obj	R_CBPS	optimal	1.5908505726730269
./model.xml	obj	R_CCGS	optimal	1.5908505726730402
./model.xml	obj	R_CCPpp	optimal	1.5908505726730227
./model.xml	obj	R_CD2abcpp	optimal	1.5908505726730164
./model.xml	obj	R_CD2t3pp	optimal	1.590850572673007
./model.xml	obj	R_CD2t4pp	optimal	1.590850572673007
./model.xml	obj	R_CD2tex	optimal	1.5908505726730373
./model.xml	obj	R_CD2tpp	optimal	1.590850572673011
./model.xml	obj	R_CDGR	optimal	1.590850572673012
./model.xml	obj	R_CDGS	optimal	1.590850572673024
./model.xml	obj	R_CDGUNPD	optimal	1.5908505726730284
./model.xml	obj	R_CDPMEK	optimal	0.0
./model.xml	obj	R_CGLYabcpp	optimal	1.5908505726730138
./model.xml	obj	R_CHLabcpp	optimal	1.5908505726730058
./model.xml	obj	R_CHLt2pp	optimal	1.5908505726730153
./model.xml	obj	R_CHOLSH	optimal	1.5908505726730229
./model.xml	obj	R_CHOLS_ex	optimal	1.5908505726713729
./model.xml	obj	R_CHOLSabc	optimal	1.5908505726729585
./model.xml	obj	R_CHORM	optimal	1.590850572673026
./model.xml	obj	R_CHORS	optimal	-3.1408529357078914e-16
./model.xml	obj	R_CHRPL	optimal	0.0
./model.xml	obj	R_CIO3pp_q8	optimal	1.590850572673008
./model.xml	obj	R_CIO3pp_q9	optimal	1.590850572673024
./model.xml	obj	R_CITt_kt	optimal	1.5908505726730207
./model.xml	obj	R_CITtex	optimal	1.590850572673007
./model.xml	obj	R_CLPNH120pp	optimal	1.5908505726730164
./model.xml	obj	R_CLPNH140pp	optimal	1.5908505726730313
./model.xml	obj	R_CLPNH141pp	optimal	1.5908505726730164
./model.xml	obj	R_CLPNH160pp	optimal	1.5908505726730213
./model.xml	obj	R_CLPNH161pp	optimal	1.5908505726730158
./model.xml	obj	R_CLPNH180pp	optimal	1.590850572673024
./model.xml	obj	R_CLPNH181pp	optimal	1.5908505726730011
./model.xml	obj	R_CLPNS120pp	optimal	1.5908505726730158
./model.xml	obj	R_CLPNS140pp	optimal	1.5908505726730078
./model.xml	obj	R_CLPNS141pp	optimal	1.5908505726730153
./model.xml	obj	R_CLPNS160pp	optimal	1.5908505726730189
./model.xml	obj	R_CLPNS161pp	optimal	1.5908505726730218
./model.xml	obj	R_CLPNS180pp	optimal	1.590850572673016
./model.xml	obj	R_CLPNS181pp	optimal	1.5908505726730284
./model.xml	obj	R_CLtex	optimal	1.5908505726729918
./model.xml	obj	R_CMCMSAD	optimal	1.5908505726730198
./model.xml	obj	R_CMHMI	optimal	1.590850572673035
./model.xml	obj	R_CMtex	optimal	1.5908505726730138
./model.xml	obj	R_CMtpp	optimal	1.5908505726730147
./model.xml	obj	R_CO2tex	optimal	1.189082510439003
./model.xml	obj	R_CO2tpp	optimal	1.189082510439
./model.xml	obj	R_COBALT2abcpp	optimal	1.590850572673007
./model.xml	obj	R_COBALT2t3pp	optimal	1.5908505726730198
./model.xml	obj	R_COBALT2tex	optimal	1.5908505726730249
./model.xml	obj	R_COBALT2tpp	optimal	1.5908505726730038
./model.xml	obj	R_COBALTt4pp	optimal	1.5908505726730064
./model.xml	obj	R_COBK1	optimal	1.590850572673034
./model.xml	obj	R_COBK2	optimal	1.590850572673035
./model.xml	obj	R_COCHL	optimal	1.5908505726730242
./model.xml	obj	R_CPH4S	optimal	1.5908505726730244
./model.xml	obj	R_CPMPS	optimal	1.590850572673018
./model.xml	obj	R_CPPPGO	optimal	1.5908505726730104
./model.xml	obj	R_CPPPGO2	optimal	1.5908505726730244
./model.xml	obj	R_CREStex	optimal	1.5908505726730133
./model.xml	obj	R_CRNDH	optimal	1.5908505726730158
./model.xml	obj	R_CRNabcpp	optimal	1.5908505726730293
./model.xml	obj	R_CRNt2rpp	optimal	1.5908505726730262
./model.xml	obj	R_CRNtex	optimal	1.5908505726728543
./model.xml	obj	R_CRO4abcpp	optimal	1.5908505726730233
./model.xml	obj	R_CRO4t3pp	optimal	1.5908505726730249
./model.xml	obj	R_CS	optimal	1.5908505726730275
./model.xml	obj	R_CSND	optimal	1.4961187423683002
./model.xml	obj	R_CSNt2pp	optimal	1.496118742368377
./model.xml	obj	R_CSNtex	optimal	1.4961187423683189
./model.xml	obj	R_CTBTabcpp	optimal	1.590850572673016
./model.xml	obj	R_CTBTt2rpp	optimal	1.5908505726713729
./model.xml	obj	R_CTECOAI6	optimal	1.590850572673025
./model.xml	obj	R_CTECOAI7	optimal	1.5908505726730298
./model.xml	obj	R_CTECOAI8	optimal	1.590850572673016
./model.xml	obj	R_CTPS1	optimal	1.5874909634066299
./model.xml	obj	R_CTPS2	optimal	1.590850572673022
./model.xml	obj	R_CU1Opp	optimal	1.5908505726730242
./model.xml	obj	R_CU2abcpp	optimal	1.5908505726730122
./model.xml	obj	R_CU2tex	optimal	1.590850572673007
./model.xml	obj	R_CU2tpp	optimal	1.5908505726730153
./model.xml	obj	R_CUtex	optimal	1.5908505726730147
./model.xml	obj	R_CYANST	optimal	1.5908505726730104
./model.xml	obj	R_CYNTAH	optimal	1.5908505726730524
./model.xml	obj	R_CYNTt2pp	optimal	1.5908505726730113
./model.xml	obj	R_CYO1_KT	optimal	1.5908505726730404
./model.xml	obj	R_CYRDAAT	optimal	1.590850572673005
./model.xml	obj	R_CYRDAR	optimal	1.5908505726730187
./model.xml	obj	R_CYS	optimal	1.5900335025079095
./model.xml	obj	R_CYSDS	optimal	1.5908505726730138
./model.xml	obj	R_CYSS	optimal	1.590850572673018
./model.xml	obj	R_CYSTGL	optimal	1.5908505726730209
./model.xml	obj	R_CYSabcpp	optimal	1.5908505726730235
./model.xml	obj	R_CYStpp	optimal	1.590850572673014
./model.xml	obj	R_CYTBO3_4pp_q8	optimal	1.5908505726730233
./model.xml	obj	R_CYTBO3_4pp_q9	optimal	1.5908505726730182
./model.xml	obj	R_CYTCAA6pp	optimal	1.3635023306433771
